Timestamp,1. Age,2. Gender,"3. On average, how many hours do you sleep per night?",4. How many hours of screen time do you have before bed?,"5. How many cups of caffeinated drinks (coffee, tea, energy drinks) do you have per day?",6. How many hours before bed time do you usually have your last caffeinated drink?,"7. On average, how much time of physical exercise do you get per day?","8. On a scale of 1–5, how would you rate your daily stress level?",9. When do you usually sleep?,"10. On a scale of 1–5, how would you rate your overall sleep quality?"
30/07/2026 01:20:22,23,Male,6–8 hours,2–3 hours,2,3–5 hours before bed,30-60 Minutes,2,Night,3
30/07/2026 02:03:16,14,Male,3–5 hours,3+ hours,2,0–2 hours before bed,None,5,Morning,1
30/07/2026 02:51:34,20,Female,9–11+ hours,2–3 hours,3,3–5 hours before bed,30-60 Minutes,3,Morning,3
30/07/2026 03:34:54,26,Female,6–8 hours,3+ hours,1,3–5 hours before bed,None,4,Morning,2
30/07/2026 04:17:22,17,Female,6–8 hours,1–2 hours,1,3–5 hours before bed,Under 30 Minutes,2,Night,3
30/07/2026 04:25:46,14,Female,3–5 hours,1–2 hours,1,6+ hours before bed,None,5,Night,3
30/07/2026 07:20:08,36,Female,6–8 hours,2–3 hours,1,6+ hours before bed,Under 30 Minutes,3,Morning,3
30/07/2026 07:33:18,23,Male,6–8 hours,0–1 hours,1,6+ hours before bed,Under 30 Minutes,4,Night,3
30/07/2026 08:52:00,17,Female,6–8 hours,3+ hours,0,Never,None,2,Morning,3
30/07/2026 09:12:08,24,Female,6–8 hours,1–2 hours,2,6+ hours before bed,Under 30 Minutes,4,Night,3
30/07/2026 11:27:40,20,Female,6–8 hours,2–3 hours,1,3–5 hours before bed,1-2 Hours,3,Night,3
30/07/2026 16:16:21,25,Male,6–8 hours,0–1 hours,1,3–5 hours before bed,Under 30 Minutes,2,Night,4
30/07/2026 16:16:53,25,Male,6–8 hours,0–1 hours,1,6+ hours before bed,30-60 Minutes,1,Night,5
30/07/2026 16:50:01,41,Male,6–8 hours,3+ hours,3,0–2 hours before bed,1-2 Hours,3,Morning,2
30/07/2026 17:17:55,18,Female,9–11+ hours,0–1 hours,0,3–5 hours before bed,Under 30 Minutes,2,Night,2
30/07/2026 17:43:01,21,Female,6–8 hours,1–2 hours,1,6+ hours before bed,Under 30 Minutes,3,Night,3
30/07/2026 18:27:04,31,Male,6–8 hours,1–2 hours,2,6+ hours before bed,Under 30 Minutes,3,Night,4
30/07/2026 18:29:42,18,Female,9–11+ hours,3+ hours,1,3–5 hours before bed,Under 30 Minutes,3,Morning,5
30/07/2026 18:30:14,26,Female,6–8 hours,0–1 hours,0,6+ hours before bed,Under 30 Minutes,1,Night,1
30/07/2026 18:32:10,23,Female,9–11+ hours,0–1 hours,1,3–5 hours before bed,30-60 Minutes,4,Night,3
30/07/2026 18:46:04,19,Male,6–8 hours,0–1 hours,2,3–5 hours before bed,Under 30 Minutes,4,Night,3
30/07/2026 18:47:59,30,Male,3–5 hours,1–2 hours,2,3–5 hours before bed,30-60 Minutes,4,Night,3
30/07/2026 18:53:27,23,Male,6–8 hours,0–1 hours,1,0–2 hours before bed,Under 30 Minutes,2,Night,3
30/07/2026 18:53:58,22,Female,3–5 hours,1–2 hours,0,Never,None,2,Night,3
30/07/2026 19:08:32,26,Female,6–8 hours,1–2 hours,2,3–5 hours before bed,None,4,Night,4
30/07/2026 19:08:36,23,Female,6–8 hours,1–2 hours,1,0–2 hours before bed,30-60 Minutes,3,Morning,3
30/07/2026 19:08:47,24,Female,3–5 hours,3+ hours,0,Never,None,2,Morning,3
30/07/2026 19:10:46,25,Female,3–5 hours,1–2 hours,2,3–5 hours before bed,Under 30 Minutes,3,Night,3
30/07/2026 19:12:51,31,Male,3–5 hours,1–2 hours,3,3–5 hours before bed,30-60 Minutes,2,Night,3
30/07/2026 19:21:07,25,Female,9–11+ hours,2–3 hours,0,Never,1-2 Hours,1,Morning,4
30/07/2026 19:23:56,24,Female,6–8 hours,0–1 hours,1,3–5 hours before bed,Under 30 Minutes,2,Night,3
30/07/2026 19:32:22,18,Female,9–11+ hours,3+ hours,1,Never,30-60 Minutes,5,Morning,3
30/07/2026 19:32:33,44,Male,3–5 hours,1–2 hours,2,Never,Under 30 Minutes,4,Morning,4
30/07/2026 19:40:20,22,Male,6–8 hours,1–2 hours,2,3–5 hours before bed,None,3,Night,4
30/07/2026 19:41:36,23,Male,6–8 hours,2–3 hours,2,6+ hours before bed,Under 30 Minutes,3,Morning,2
30/07/2026 19:50:28,23,Male,9–11+ hours,1–2 hours,2,Never,Under 30 Minutes,1,Morning,3
30/07/2026 19:52:35,43,Male,6–8 hours,0–1 hours,3,0–2 hours before bed,Under 30 Minutes,3,Night,4
30/07/2026 19:54:23,46,Male,3–5 hours,0–1 hours,2,0–2 hours before bed,None,2,Night,4
30/07/2026 19:55:26,35,Female,6–8 hours,1–2 hours,3,3–5 hours before bed,None,4,Night,3
30/07/2026 20:01:29,45,Male,3–5 hours,0–1 hours,3,0–2 hours before bed,30-60 Minutes,1,Night,4
30/07/2026 20:03:17,45,Male,6–8 hours,1–2 hours,1,Never,None,3,Night,3
30/07/2026 20:06:20,33,Male,6–8 hours,1–2 hours,1,6+ hours before bed,30-60 Minutes,1,Morning,5
30/07/2026 20:06:54,18,Male,6–8 hours,1–2 hours,1,6+ hours before bed,30-60 Minutes,1,Morning,5
30/07/2026 20:07:31,29,Male,6–8 hours,1–2 hours,1,6+ hours before bed,1-2 Hours,1,Night,5
30/07/2026 20:08:00,37,Male,6–8 hours,1–2 hours,1,6+ hours before bed,30-60 Minutes,1,Night,5
30/07/2026 20:08:48,25,Male,0–2 hours,3+ hours,3,0–2 hours before bed,None,5,Morning,1
30/07/2026 20:09:51,26,Male,3–5 hours,1–2 hours,2,3–5 hours before bed,30-60 Minutes,3,Night,2
30/07/2026 20:12:42,30,Male,6–8 hours,3+ hours,2,3–5 hours before bed,Under 30 Minutes,3,Morning,2
30/07/2026 20:14:09,17,Male,0–2 hours,3+ hours,3,0–2 hours before bed,None,5,Morning,1
30/07/2026 20:14:37,20,Male,0–2 hours,3+ hours,4,0–2 hours before bed,None,5,Morning,1
30/07/2026 20:15:20,16,Male,9–11+ hours,3+ hours,1,6+ hours before bed,1-2 Hours,3,Night,3
30/07/2026 20:15:29,29,Male,0–2 hours,3+ hours,3,0–2 hours before bed,None,4,Morning,1
30/07/2026 20:16:17,27,Male,3–5 hours,1–2 hours,3,3–5 hours before bed,30-60 Minutes,2,Night,3
30/07/2026 20:16:44,20,Male,0–2 hours,2–3 hours,3,3–5 hours before bed,Under 30 Minutes,4,Morning,1
30/07/2026 20:17:03,13,Male,6–8 hours,1–2 hours,0,Never,None,3,Night,4
30/07/2026 20:18:37,25,Male,3–5 hours,2–3 hours,4,0–2 hours before bed,30-60 Minutes,2,Night,3
30/07/2026 20:19:34,44,Male,6–8 hours,1–2 hours,4,6+ hours before bed,Under 30 Minutes,3,Night,3
30/07/2026 20:20:11,29,Male,6–8 hours,1–2 hours,1,Never,2+,1,Night,5
30/07/2026 20:20:30,21,Male,3–5 hours,2–3 hours,2,3–5 hours before bed,Under 30 Minutes,3,Night,2
30/07/2026 20:22:10,23,Male,3–5 hours,1–2 hours,2,3–5 hours before bed,Under 30 Minutes,4,Night,2
30/07/2026 20:22:45,29,Female,6–8 hours,2–3 hours,2,6+ hours before bed,1-2 Hours,2,Night,4
30/07/2026 20:23:40,28,Female,3–5 hours,0–1 hours,2,3–5 hours before bed,Under 30 Minutes,4,Morning,1
30/07/2026 20:23:47,31,Male,9–11+ hours,3+ hours,2,3–5 hours before bed,Under 30 Minutes,3,Morning,2
30/07/2026 20:24:18,28,Female,0–2 hours,3+ hours,2,6+ hours before bed,30-60 Minutes,5,Night,2
30/07/2026 20:25:53,29,Male,9–11+ hours,3+ hours,3,3–5 hours before bed,Under 30 Minutes,5,Morning,1
30/07/2026 20:26:16,32,Male,3–5 hours,3+ hours,2,3–5 hours before bed,Under 30 Minutes,4,Night,2
30/07/2026 20:26:19,22,Male,0–2 hours,2–3 hours,1,3–5 hours before bed,2+,5,Night,4
30/07/2026 20:28:28,27,Female,9–11+ hours,3+ hours,3,0–2 hours before bed,Under 30 Minutes,2,Morning,2
30/07/2026 20:28:44,32,Female,6–8 hours,0–1 hours,0,Never,30-60 Minutes,1,Night,5
30/07/2026 20:29:02,31,Male,3–5 hours,2–3 hours,3,3–5 hours before bed,Under 30 Minutes,4,Morning,2
30/07/2026 20:29:07,22,Male,6–8 hours,0–1 hours,1,6+ hours before bed,Under 30 Minutes,3,Night,3
30/07/2026 20:29:13,28,Female,6–8 hours,2–3 hours,2,3–5 hours before bed,None,2,Night,1
30/07/2026 20:29:39,29,Female,6–8 hours,1–2 hours,2,3–5 hours before bed,1-2 Hours,2,Morning,2
30/07/2026 20:29:53,19,Male,3–5 hours,2–3 hours,3,3–5 hours before bed,None,5,Morning,1
30/07/2026 20:31:14,42,Male,3–5 hours,1–2 hours,3,0–2 hours before bed,None,3,Night,3
30/07/2026 20:31:18,32,Male,3–5 hours,2–3 hours,2,3–5 hours before bed,Under 30 Minutes,4,Morning,2
30/07/2026 20:33:18,26,Female,6–8 hours,3+ hours,2,3–5 hours before bed,None,2,Night,5
30/07/2026 20:34:07,23,Female,3–5 hours,1–2 hours,1,3–5 hours before bed,1-2 Hours,5,Night,1
30/07/2026 20:34:43,21,Male,9–11+ hours,2–3 hours,3,3–5 hours before bed,Under 30 Minutes,4,Morning,2
30/07/2026 20:34:47,21,Female,3–5 hours,1–2 hours,1,6+ hours before bed,Under 30 Minutes,4,Night,4
30/07/2026 20:35:48,24,Female,6–8 hours,2–3 hours,3,3–5 hours before bed,30-60 Minutes,2,Night,2
30/07/2026 20:36:28,35,Female,6–8 hours,1–2 hours,2,3–5 hours before bed,None,2,Night,4
30/07/2026 20:37:39,31,Female,6–8 hours,2–3 hours,2,3–5 hours before bed,None,1,Night,5
30/07/2026 20:37:51,21,Male,9–11+ hours,3+ hours,3,0–2 hours before bed,Under 30 Minutes,4,Morning,2
30/07/2026 20:38:13,26,Male,6–8 hours,1–2 hours,4,0–2 hours before bed,None,3,Morning,2
30/07/2026 20:39:35,35,Female,6–8 hours,2–3 hours,2,3–5 hours before bed,None,2,Night,4
30/07/2026 20:40:02,27,Female,3–5 hours,2–3 hours,3,3–5 hours before bed,30-60 Minutes,1,Morning,5
30/07/2026 20:40:30,-1,Female,9–11+ hours,0–1 hours,0,Never,2+,1,Night,4
30/07/2026 20:40:37,31,Male,9–11+ hours,1–2 hours,1,6+ hours before bed,30-60 Minutes,1,Morning,5
30/07/2026 20:40:42,26,Female,6–8 hours,0–1 hours,0,Never,30-60 Minutes,1,Night,5
30/07/2026 20:40:46,22,Female,9–11+ hours,3+ hours,3,0–2 hours before bed,None,5,Night,2
30/07/2026 20:42:07,31,Female,6–8 hours,0–1 hours,1,6+ hours before bed,30-60 Minutes,1,Night,5
30/07/2026 20:42:12,23,Female,3–5 hours,3+ hours,2,3–5 hours before bed,None,3,Night,3
30/07/2026 20:42:51,24,Male,3–5 hours,3+ hours,3,3–5 hours before bed,Under 30 Minutes,2,Night,3
30/07/2026 20:43:02,30,Female,6–8 hours,2–3 hours,2,3–5 hours before bed,1-2 Hours,2,Night,2
30/07/2026 20:43:02,30,Male,3–5 hours,2–3 hours,2,3–5 hours before bed,Under 30 Minutes,4,Morning,1
30/07/2026 20:43:31,32,Female,6–8 hours,1–2 hours,0,Never,30-60 Minutes,2,Night,5
30/07/2026 20:43:44,33,Female,3–5 hours,1–2 hours,2,3–5 hours before bed,1-2 Hours,5,Night,5
30/07/2026 20:43:51,30,Male,6–8 hours,0–1 hours,1,6+ hours before bed,30-60 Minutes,2,Night,5
30/07/2026 20:44:06,33,Female,6–8 hours,1–2 hours,1,6+ hours before bed,Under 30 Minutes,1,Night,5
30/07/2026 20:44:48,33,Female,3–5 hours,2–3 hours,2,3–5 hours before bed,30-60 Minutes,1,Night,2
30/07/2026 20:45:49,33,Male,6–8 hours,1–2 hours,1,6+ hours before bed,30-60 Minutes,1,Night,5
30/07/2026 20:47:41,31,Male,3–5 hours,2–3 hours,2,0–2 hours before bed,Under 30 Minutes,4,Night,1
30/07/2026 20:48:27,4,Female,0–2 hours,3+ hours,4,0–2 hours before bed,None,5,Morning,1
30/07/2026 20:49:41,48,Female,6–8 hours,1–2 hours,3,0–2 hours before bed,Under 30 Minutes,2,Night,2
30/07/2026 21:00:13,22,Male,6–8 hours,0–1 hours,4,6+ hours before bed,Under 30 Minutes,2,Night,3
30/07/2026 21:10:52,21,Female,9–11+ hours,1–2 hours,3,3–5 hours before bed,None,4,Night,4
30/07/2026 21:23:29,21,Female,3–5 hours,2–3 hours,0,0–2 hours before bed,30-60 Minutes,2,Night,2
30/07/2026 21:28:39,75,Male,3–5 hours,1–2 hours,3,3–5 hours before bed,None,3,Night,2
30/07/2026 21:34:10,40,Female,6–8 hours,1–2 hours,2,6+ hours before bed,None,3,Night,4
30/07/2026 21:34:29,35,Female,3–5 hours,1–2 hours,2,3–5 hours before bed,None,2,Night,3
30/07/2026 21:34:56,23,Female,6–8 hours,2–3 hours,1,3–5 hours before bed,1-2 Hours,3,Morning,3
30/07/2026 21:44:11,21,Female,9–11+ hours,3+ hours,1,Never,1-2 Hours,4,Morning,3
30/07/2026 22:02:09,22,Female,6–8 hours,2–3 hours,3,0–2 hours before bed,None,4,Morning,3
30/07/2026 22:15:32,22,Female,3–5 hours,1–2 hours,2,3–5 hours before bed,1-2 Hours,3,Night,3
31/07/2026 01:56:17,24,Male,6–8 hours,1–2 hours,1,6+ hours before bed,None,2,Night,4
31/07/2026 02:35:11,22,Male,6–8 hours,0–1 hours,0,Never,Under 30 Minutes,3,Morning,3
31/07/2026 20:00:40,25,Male,6–8 hours,1–2 hours,2,6+ hours before bed,30-60 Minutes,2,Night,4
31/07/2026 23:00:38,22,Male,6–8 hours,0–1 hours,2,6+ hours before bed,1-2 Hours,2,Night,4
01/08/2026 00:14:48,53,Male,3–5 hours,1–2 hours,3,3–5 hours before bed,Under 30 Minutes,1,Night,4
01/08/2026 05:58:32,18,Male,3–5 hours,3+ hours,4,3–5 hours before bed,None,3,Night,2
01/08/2026 09:44:03,36,Male,6–8 hours,3+ hours,2,6+ hours before bed,None,3,Morning,3
01/08/2026 17:56:25,22,Female,6–8 hours,1–2 hours,2,0–2 hours before bed,None,3,Night,3
01/08/2026 18:13:21,48,Female,3–5 hours,2–3 hours,2,6+ hours before bed,1-2 Hours,5,Morning,1
01/08/2026 18:27:15,78,Female,6–8 hours,0–1 hours,3,6+ hours before bed,Under 30 Minutes,1,Night,3
01/08/2026 18:39:09,0.1,Female,6–8 hours,0–1 hours,2,3–5 hours before bed,None,3,Night,3
01/08/2026 18:42:44,40,Female,6–8 hours,0–1 hours,2,0–2 hours before bed,30-60 Minutes,5,Morning,3
01/08/2026 18:52:43,53,Female,6–8 hours,1–2 hours,2,3–5 hours before bed,None,1,Night,2
01/08/2026 18:54:52,51,Female,6–8 hours,1–2 hours,2,3–5 hours before bed,Under 30 Minutes,4,Night,3
01/08/2026 19:19:21,19,Male,3–5 hours,0–1 hours,1,Never,Under 30 Minutes,2,Night,2
01/08/2026 19:26:47,46,Female,6–8 hours,1–2 hours,3,6+ hours before bed,30-60 Minutes,4,Night,5
01/08/2026 19:55:45,31,Female,6–8 hours,1–2 hours,3,3–5 hours before bed,None,3,Morning,3
01/08/2026 20:14:49,18,Female,6–8 hours,2–3 hours,2,6+ hours before bed,30-60 Minutes,3,Night,3
