Model,CV Accuracy,CV Precision,CV Recall,CV Macro F1,F1 Std
SVM,0.5848790322580645,0.5987200707788943,0.5797306397306397,0.5781150094898361,0.014386152241627054
KNN,0.5786290322580645,0.6071817071817073,0.5684511784511785,0.5668632272993328,0.05365227243366242
Random Forest,0.5667338709677419,0.5807958707958708,0.5588552188552189,0.5530385453675264,0.059778950572539645
Gradient Boosting,0.5661290322580645,0.5822101972101972,0.555050505050505,0.5518388200493465,0.02479189630204887
Logistic Regression,0.5411290322580645,0.541015651015651,0.5379124579124579,0.5258495932408976,0.032790262793029996
Decision Tree,0.4590725806451613,0.45377677877677874,0.4556565656565656,0.44913212628046384,0.010218027999045911
